Left Longitude Bound,Right Longitude Bound,Top Latitude Bound,Bottom Latitude Bound,Summed AADT,Number of Chargers,Proper AADT,Education,Entertainment,Financial,Food Store,Healthcare,Leisure,Outdoor Shops,Public Buildings,Shops,Sustenance,Tourism,Transportation,Longitude Center,Latitude Center,Zipcode
-73.8247,-73.82164129975071,42.6884,42.686151698836554,0.0,0,0.0,0,2,0,0,0,0,0,1,0,1,1,0,-73.82317064987535,42.68727584941828,12203
-73.82164129975071,-73.81858259950143,42.6884,42.686151698836554,0.0,0,0.0,0,0,0,0,0,0,0,1,0,1,0,0,-73.82011194962607,42.68727584941828,12203
-73.81858259950143,-73.81552389925213,42.6884,42.686151698836554,0.0,0,27396.0,0,0,0,0,0,1,0,0,0,0,0,0,-73.81705324937678,42.68727584941828,12203
-73.81552389925213,-73.81246519900283,42.6884,42.686151698836554,0.0,0,98597.0,0,0,0,0,0,0,0,0,0,0,3,2,-73.81399454912749,42.68727584941828,12203
-73.81246519900283,-73.80940649875353,42.6884,42.686151698836554,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,-73.8109358488782,42.68727584941828,12203
-73.80940649875353,-73.80634779850425,42.6884,42.686151698836554,58936.666666666664,0,,0,0,0,0,0,0,0,0,0,0,0,0,-73.80787714862889,42.68727584941828,12203
-73.80634779850425,-73.80328909825496,42.6884,42.686151698836554,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,-73.8048184483796,42.68727584941828,12203
-73.80328909825496,-73.80023039800567,42.6884,42.686151698836554,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,-73.80175974813031,42.68727584941828,12203
-73.80023039800567,-73.79717169775637,42.6884,42.686151698836554,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,-73.79870104788102,42.68727584941828,12206
-73.79717169775637,-73.79411299750707,42.6884,42.686151698836554,0.0,0,82626.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.79564234763173,42.68727584941828,12206
-73.79411299750707,-73.79105429725779,42.6884,42.686151698836554,0.0,0,76210.0,0,0,0,0,0,4,0,0,0,0,0,0,-73.79258364738241,42.68727584941828,12206
-73.79105429725779,-73.7879955970085,42.6884,42.686151698836554,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.78952494713313,42.68727584941828,12206
-73.7879955970085,-73.78493689675922,42.6884,42.686151698836554,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.78646624688385,42.68727584941828,12206
-73.78493689675922,-73.78187819650992,42.6884,42.686151698836554,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,-73.78340754663458,42.68727584941828,12206
-73.78187819650992,-73.77881949626062,42.6884,42.686151698836554,0.0,0,47483.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.78034884638528,42.68727584941828,12206
-73.77881949626062,-73.77576079601133,42.6884,42.686151698836554,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.777290146136,42.68727584941828,12206
-73.77576079601133,-73.77270209576204,42.6884,42.686151698836554,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.77423144588668,42.68727584941828,12206
-73.77270209576204,-73.76964339551276,42.6884,42.686151698836554,0.0,0,6136.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.7711727456374,42.68727584941828,12206
-73.76964339551276,-73.76658469526346,42.6884,42.686151698836554,0.0,0,6136.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.7681140453881,42.68727584941828,12206
-73.76658469526346,-73.76352599501416,42.6884,42.686151698836554,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.76505534513882,42.68727584941828,12206
-73.76352599501416,-73.76046729476487,42.6884,42.686151698836554,0.0,0,3232.0,0,0,0,0,0,1,0,0,0,0,0,0,-73.76199664488952,42.68727584941828,12206
-73.76046729476487,-73.75740859451558,42.6884,42.686151698836554,0.0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,-73.75893794464022,42.68727584941828,12206
-73.75740859451558,-73.7543498942663,42.6884,42.686151698836554,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,-73.75587924439094,42.68727584941828,12206
-73.7543498942663,-73.751291194017,42.6884,42.686151698836554,0.0,0,21515.0,0,0,0,0,0,1,0,0,0,0,0,0,-73.75282054414167,42.68727584941828,12206
-73.751291194017,-73.7482324937677,42.6884,42.686151698836554,0.0,0,0.0,0,0,0,0,0,5,0,0,0,0,0,0,-73.74976184389234,42.68727584941828,12206
-73.7482324937677,-73.7451737935184,42.6884,42.686151698836554,0.0,0,0.0,0,0,0,0,0,6,0,0,0,0,0,0,-73.74670314364306,42.68727584941828,12206
-73.8247,-73.82164141045452,42.686151698836554,42.68390339767312,0.0,0,0.0,3,8,0,0,0,0,0,0,0,6,0,0,-73.82317070522724,42.68502754825483,12203
-73.82164141045452,-73.81858282090901,42.686151698836554,42.68390339767312,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.82011211568178,42.68502754825484,12203
-73.81858282090901,-73.81552423136353,42.686151698836554,42.68390339767312,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,-73.81705352613628,42.68502754825483,12203
-73.81552423136353,-73.81246564181802,42.686151698836554,42.68390339767312,1188.0,0,65918.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.81399493659077,42.68502754825484,12203
-73.81246564181802,-73.80940705227253,42.686151698836554,42.68390339767312,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,-73.81093634704526,42.68502754825483,12203
-73.80940705227253,-73.80634846272703,42.686151698836554,42.68390339767312,0.0,0,98288.0,0,0,1,0,0,1,0,0,0,0,0,0,-73.8078777574998,42.68502754825484,12203
-73.80634846272703,-73.80328987318154,42.686151698836554,42.68390339767312,0.0,1,17791.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.80481916795429,42.68502754825483,12203
-73.80328987318154,-73.80023128363605,42.686151698836554,42.68390339767312,0.0,0,,0,0,0,0,0,0,0,0,0,0,0,0,-73.80176057840877,42.68502754825483,12203
-73.80023128363605,-73.79717269409056,42.686151698836554,42.68390339767312,0.0,0,128.0,0,0,0,0,0,1,0,0,0,0,0,0,-73.79870198886331,42.68502754825483,12206
-73.79717269409056,-73.79411410454507,42.686151698836554,42.68390339767312,0.0,0,6544.0,0,0,1,0,1,0,0,0,1,5,0,0,-73.79564339931781,42.68502754825483,12206
-73.79411410454507,-73.79105551499957,42.686151698836554,42.68390339767312,0.0,0,76210.0,0,0,0,0,0,0,1,0,1,0,0,0,-73.79258480977232,42.68502754825484,12206
-73.79105551499957,-73.78799692545408,42.686151698836554,42.68390339767312,0.0,0,85303.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.78952622022682,42.68502754825483,12206
-73.78799692545408,-73.78493833590858,42.686151698836554,42.68390339767312,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.78646763068134,42.68502754825484,12206
-73.78493833590858,-73.78187974636309,42.686151698836554,42.68390339767312,0.0,0,19240.0,0,0,0,0,0,0,0,1,0,0,0,1,-73.78340904113583,42.68502754825483,12206
-73.78187974636309,-73.77882115681759,42.686151698836554,42.68390339767312,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.78035045159035,42.68502754825484,12206
-73.77882115681759,-73.7757625672721,42.686151698836554,42.68390339767312,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.77729186204483,42.68502754825483,12206
-73.7757625672721,-73.7727039777266,42.686151698836554,42.68390339767312,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.77423327249934,42.68502754825484,12206
-73.7727039777266,-73.7696453881811,42.686151698836554,42.68390339767312,0.0,0,98581.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.77117468295384,42.68502754825483,12206
-73.7696453881811,-73.7665867986356,42.686151698836554,42.68390339767312,0.0,1,6136.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.76811609340835,42.68502754825484,12206
-73.7665867986356,-73.76352820909011,42.686151698836554,42.68390339767312,0.0,4,6136.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.76505750386286,42.68502754825483,12206
-73.76352820909011,-73.76046961954461,42.686151698836554,42.68390339767312,0.0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,-73.76199891431736,42.68502754825484,12206
-73.76046961954461,-73.75741102999912,42.686151698836554,42.68390339767312,0.0,0,3232.0,0,0,0,0,0,2,0,0,0,0,0,0,-73.75894032477186,42.68502754825483,12206
-73.75741102999912,-73.75435244045362,42.686151698836554,42.68390339767312,0.0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,-73.75588173522638,42.68502754825484,12206
-73.75435244045362,-73.75129385090813,42.686151698836554,42.68390339767312,0.0,0,21515.0,0,0,0,0,0,4,0,0,0,0,0,0,-73.75282314568086,42.68502754825483,12206
-73.75129385090813,-73.74823526136262,42.686151698836554,42.68390339767312,0.0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,-73.74976455613537,42.68502754825484,12206
-73.74823526136262,-73.74517667181713,42.686151698836554,42.68390339767312,0.0,0,0.0,0,0,0,0,0,2,0,0,0,0,0,0,-73.74670596658986,42.68502754825483,12206
-73.8247,-73.82164152114558,42.68390339767312,42.68165509650969,0.0,1,0.0,0,0,0,0,0,0,0,0,0,2,0,0,-73.82317076057281,42.6827792470914,12203
-73.82164152114558,-73.81858304229114,42.68390339767312,42.68165509650969,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.82011228171837,42.6827792470914,12203
-73.81858304229114,-73.81552456343671,42.68390339767312,42.68165509650969,0.0,0,27398.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.81705380286394,42.6827792470914,12203
-73.81552456343671,-73.81246608458228,42.68390339767312,42.68165509650969,0.0,0,27719.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.81399532400951,42.6827792470914,12203
-73.81246608458228,-73.80940760572784,42.68390339767312,42.68165509650969,0.0,0,33077.0,0,1,0,0,0,1,0,0,0,0,0,0,-73.81093684515504,42.6827792470914,12203
-73.80940760572784,-73.80634912687341,42.68390339767312,42.68165509650969,0.0,0,120521.0,0,0,1,0,0,0,0,0,0,0,0,1,-73.80787836630063,42.6827792470914,12203
-73.80634912687341,-73.80329064801899,42.68390339767312,42.68165509650969,0.0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,2,-73.80481988744621,42.6827792470914,12203
-73.80329064801899,-73.80023216916456,42.68390339767312,42.68165509650969,0.0,0,79528.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.80176140859179,42.6827792470914,12203
-73.80023216916456,-73.79717369031013,42.68390339767312,42.68165509650969,0.0,0,128.0,1,0,0,0,0,5,0,0,0,0,0,0,-73.79870292973736,42.6827792470914,12206
-73.79717369031013,-73.79411521145569,42.68390339767312,42.68165509650969,0.0,0,0.0,0,0,0,0,0,5,0,0,0,1,0,0,-73.79564445088292,42.6827792470914,12206
-73.79411521145569,-73.79105673260126,42.68390339767312,42.68165509650969,0.0,0,6416.0,0,0,1,0,0,0,1,0,0,0,0,0,-73.79258597202848,42.6827792470914,12206
-73.79105673260126,-73.78799825374684,42.68390339767312,42.68165509650969,0.0,0,80171.0,0,0,0,1,0,0,0,0,0,0,0,0,-73.78952749317406,42.6827792470914,12206
-73.78799825374684,-73.78493977489241,42.68390339767312,42.68165509650969,0.0,0,323311.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.78646901431964,42.6827792470914,12206
-73.78493977489241,-73.78188129603798,42.68390339767312,42.68165509650969,0.0,0,230679.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.78341053546521,42.6827792470914,12206
-73.78188129603798,-73.77882281718355,42.68390339767312,42.68165509650969,0.0,0,216694.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.78035205661078,42.6827792470914,12206
-73.77882281718355,-73.77576433832913,42.68390339767312,42.68165509650969,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.77729357775634,42.6827792470914,12206
-73.77576433832913,-73.77270585947468,42.68390339767312,42.68165509650969,0.0,0,81033.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.7742350989019,42.6827792470914,12206
-73.77270585947468,-73.76964738062026,42.68390339767312,42.68165509650969,0.0,0,73902.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.77117662004748,42.6827792470914,12206
-73.76964738062026,-73.76658890176583,42.68390339767312,42.68165509650969,0.0,4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.76811814119306,42.6827792470914,12206
-73.76658890176583,-73.7635304229114,42.68390339767312,42.68165509650969,0.0,1,6136.0,0,0,0,0,0,0,0,0,0,0,0,0,-73.76505966233863,42.6827792470914,12206
